total_net_assets,fund_yield,annual_holdings_turnover,fund_annual_report_net_expense_ratio,asset_stocks,asset_bonds,fund_sector_basic_materials,fund_sector_communication_services,fund_sector_consumer_cyclical,fund_sector_consumer_defensive,fund_sector_energy,fund_sector_financial_services,fund_sector_healthcare,fund_sector_industrials,fund_sector_real_estate,fund_sector_technology,fund_sector_utilities,fund_price_earning_ratio,fund_bond_maturity,fund_bonds_aaa,fund_bonds_aa,fund_bonds_a,fund_bonds_bbb,fund_bonds_bb,fund_bonds_below_b,fund_return_ytd,fund_alpha_3years,investment_type_Blend,investment_type_Growth,investment_type_Value,size_type_Large,size_type_Medium,size_type_Small
30840740.0,0.0,0.0,0.0074,0.9998,0.0,0.0246,0.111,0.1185,0.0647,0.0279,0.1477,0.1308,0.0925,0.0255,0.2311,0.0256,25.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,0.0,1,0,0,1,0,0
2266937088.0,0.029,0.18,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0888,0.5603,0.2975,0.0456,0.0073,0.0,-0.0375,-0.96,0,1,0,0,1,0
29997818.0,0.0,0.0,0.0079,1.0,0.0,0.0227,0.1114,0.12,0.0632,0.0285,0.1422,0.1309,0.0886,0.0258,0.2422,0.0245,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0585,0.0,1,0,0,1,0,0
3723602944.0,0.0249,0.0,0.0019,0.9934,0.0,0.1204,0.0305,0.0575,0.0503,0.0222,0.3812,0.0798,0.095,0.1075,0.0182,0.0373,22.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575,0.0,1,0,0,1,0,0
42532132.0,0.0,0.81,0.0079,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.9944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071,0.1,0,1,0,0,0,1
5250377728.0,0.0206,0.0,0.0019,0.9957,0.0,0.0979,0.0319,0.039,0.0451,0.1345,0.3757,0.0088,0.1182,0.0045,0.1087,0.0358,18.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1544,0.0,1,0,0,1,0,0
3493609216.0,0.0227,0.0,0.0007,0.9956,0.0,0.081,0.0547,0.118,0.1041,0.0346,0.168,0.127,0.1582,0.0305,0.0902,0.0337,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0965,0.0,1,0,0,1,0,0
26683864.0,0.0,0.46,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,-4.87,0,1,0,0,0,1
427573312.0,0.0,0.0,0.0009,0.9902,0.0,0.0433,0.0339,0.1199,0.0357,0.0346,0.1325,0.1878,0.1625,0.0757,0.1605,0.0136,20.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1462,0.0,1,0,0,0,0,1
79662088.0,0.0,1.46,0.0079,0.9997,0.0,0.0227,0.1114,0.12,0.0632,0.0285,0.1422,0.1309,0.0886,0.0258,0.2422,0.0245,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0886,0.0,1,0,0,1,0,0
7723598.0,0.0,0.0,0.0079,0.0,0.0,0.0,0.0565,0.7934,0.0,0.0387,0.0,0.0,0.0,0.0985,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0
23180106.0,0.0,0.0,0.008,0.9978,0.0,0.0308,0.0043,0.1492,0.0621,0.0,0.0,0.2848,0.1045,0.0132,0.3512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.0,0,1,0,0,1,0
247182752.0,0.0142,0.6,0.0035,0.9942,0.0,0.0426,0.0079,0.0655,0.0509,0.0429,0.0276,0.132,0.2432,0.1104,0.2106,0.0665,32.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1712,0.63,1,0,0,1,0,0
163663696.0,0.0,0.0,0.0079,0.9929,0.0,0.0227,0.1114,0.12,0.0632,0.0286,0.1423,0.1309,0.0886,0.0257,0.2422,0.0245,26.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0937,0.0,1,0,0,1,0,0
48600056.0,0.0,0.04,0.0079,1.0,0.0,0.0227,0.1114,0.12,0.0632,0.0285,0.1422,0.1309,0.0886,0.0258,0.2422,0.0245,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0427,0.0,1,0,0,1,0,0
14245206.0,0.0,0.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1036,0.0,0,0,1,0,0,1
6249378.0,0.0403,1.24,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0129,0.0,0.0,0.0564,0.4102,0.1668,0.023,2.76,0,0,1,0,0,1
7247944.0,0.0,0.0,0.0085,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.012,0.9783,0.0,0.0,0.0,0.0,36.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0,0,1,0,0,1,0
7013170.0,0.0,0.0,0.0087,0.9961,0.0,0.1929,0.0079,0.1624,0.0,0.0265,0.0,0.0,0.262,0.0104,0.2008,0.1371,30.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0,1,0,0,1,0
20668820.0,0.0,0.0,0.0079,0.9999,0.0,0.0227,0.1114,0.12,0.0632,0.0285,0.1422,0.1309,0.0886,0.0258,0.2422,0.0245,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659,0.0,1,0,0,1,0,0
14130040.0,0.0,0.0,0.0085,0.9904,0.0,0.0314,0.0224,0.0738,0.026,0.0275,0.4742,0.0735,0.1057,0.0766,0.0645,0.0242,15.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
81503288.0,0.0,0.0,0.008,1.0,0.0,0.0227,0.1114,0.12,0.0632,0.0285,0.1422,0.1309,0.0886,0.0258,0.2422,0.0245,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0731,0.0,1,0,0,1,0,0
2581059840.0,0.0017,0.0,0.0068,0.9995,0.0,0.0,0.0,0.0,0.0,0.0069,0.0012,0.1305,0.4355,0.0,0.4259,0.0,47.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566,1.29,0,1,0,1,0,0
19716544.0,0.0,16.37,0.008,0.9912,0.0,0.2724,0.0,0.0621,0.0751,0.0655,0.3125,0.1843,0.028,0.0,0.0,0.0,19.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383,0.0,1,0,0,0,1,0
58153096.0,0.0,0.0,0.0079,1.0,0.0,0.0227,0.1114,0.12,0.0632,0.0285,0.1422,0.1309,0.0886,0.0258,0.2422,0.0245,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.0,1,0,0,1,0,0
308002560.0,0.0438,0.34,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0444,0.0,0.0,0.0,0.4995,0.1721,0.0201,2.8,0,0,1,0,0,1
98821304.0,0.0,4.83,0.0219,0.0,0.0,0.0275,0.039,0.1164,0.0788,0.0405,0.1406,0.1304,0.1309,0.086,0.1673,0.0426,21.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1132,3.47,1,0,0,0,1,0
176196640.0,0.0,0.361,0.0042,0.9986,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,0.9974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368,5.01,0,1,0,0,0,1
20761084.0,0.0,0.0,0.0088,0.0,0.0,0.0,0.1276,0.0923,0.011,0.0,0.005,0.0164,0.0287,0.0066,0.7122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694,0.0,0,1,0,1,0,0
116980944.0,0.0,0.0,0.0105,0.9905,0.0,0.0228,0.1117,0.12,0.063,0.0282,0.1426,0.1311,0.0884,0.0259,0.2416,0.0246,26.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
53915320.0,0.0019,7.5,0.0099,0.9959,0.0,0.0227,0.1114,0.12,0.0632,0.0286,0.1422,0.1309,0.0886,0.0257,0.2422,0.0245,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493,-7.11,1,0,0,1,0,0
191731712.0,0.0,0.0,0.0105,0.9911,0.0,0.0246,0.1111,0.1186,0.0648,0.0279,0.1478,0.1309,0.0926,0.0255,0.2307,0.0255,26.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575,0.0,1,0,0,1,0,0
352025344.0,0.0042,0.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0283,0.0,0,1,0,0,1,0
307287936.0,0.0,0.0,0.0075,0.9976,0.0,0.0333,0.1724,0.2391,0.0301,0.0211,0.0918,0.0713,0.125,0.0,0.2159,0.0,23.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0
413714208.0,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1769,1.1,0,0,1,1,0,0
7424708.0,0.0,0.0,0.0195,0.0,0.0,0.0,0.1357,0.3396,0.0,0.0,0.076,0.1409,0.1755,0.0,0.1323,0.0,24.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1435,0.0,1,0,0,0,1,0
8955579.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.1648,0.2654,0.024,0.0262,0.0512,0.1573,0.1706,0.0214,0.1191,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.0,1,0,0,0,1,0
38130772.0,0.0,0.0,0.0075,0.9994,0.0,0.0,0.018,0.0314,0.0,0.0897,0.0342,0.1792,0.1458,0.0,0.5018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1651,0.0,0,1,0,0,0,1
221055552.0,0.0245,0.0,0.0035,0.9993,0.0,0.0314,0.0332,0.0462,0.1896,0.0236,0.2362,0.0801,0.0692,0.0,0.0493,0.2413,17.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2144,-6.34,0,0,1,1,0,0
19686372.0,0.0333,0.0,0.005,0.9992,0.0,0.1171,0.1682,0.0517,0.0725,0.0665,0.2456,0.009,0.0622,0.0248,0.0396,0.1428,9.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1229,-3.36,0,0,1,1,0,0
